paper_id,title,decision,gt_binary,avg_score,score_0,score_1,score_2,score_3,score_4,score_5
1AS7IT3X2A,Position: Lifting Data for Foundation Model Unlearning,Reject,Reject,2.75,2,3,3,3,,
1RlrtH6ydW,Position: Stop treating `AGI' as the north-star goal of AI research,Accept (poster),Accept,3.00,4,3,1,4,,
1ZC4RNjqzU,Position: Evaluating Generative AI Systems Is a Social Science Measurement Challenge,Accept (poster),Accept,3.33,3,4,3,,,
1rh8iTehBc,Position: Current Model Licensing Practices are Dragging Us into a Quagmire of Legal Noncompliance,Accept (oral),Accept,3.75,3,4,4,4,,
2qErp0n78A,Position: Causality can systematically address the monsters under the bench(marks),Reject,Reject,2.75,1,3,4,3,,
3tdITbjv8t,"Position: Humans Co-exist, So Must Embodied Artificial Agents",Reject (with encouragement),Reject,3.40,3,3,5,3,3,
3wEY0NB2pG,Position: Constants are Critical in Regret Bounds for Reinforcement Learning,Accept (poster),Accept,4.00,3,4,5,4,,
42Au7FoD8F,Position: Deep Learning is Not So Mysterious or Different,Accept (spotlight poster),Accept,4.33,4,5,4,,,
4KhDd0Ozqe,Position: Truly Self-Improving Agents Require Intrinsic Metacognitive Learning,Accept (poster),Accept,4.33,4,4,5,,,
4UhTWPwVke,"Position: When Incentives Backfire, Data Stops Being Human",Accept (poster),Accept,2.40,2,3,2,3,2,
5Hpm74b1Ga,Position: The Future of Bayesian Prediction Is Prior-Fitted,Accept (poster),Accept,3.33,3,3,4,,,
75WZP8whT8,Position: Generative AI and Differential Privacy --- A Perfect Match,Reject,Reject,3.67,4,3,4,,,
8samCaCwKu,Position: It Is Time We Test Neural Computation In Vitro,Accept (poster),Accept,3.33,4,2,4,,,
9skHxuHyM4,Position: AI Agents Need Authenticated Delegation,Accept (oral),Accept,4.00,4,4,4,4,,
A0HtZM0MpZ,Position: A Theory of Deep Learning Must Include Compositional Sparsity,Accept (poster),Accept,3.50,2,4,4,4,,
ACzL62Jp4E,Position: In-House Evaluation Is Not Enough. Towards Robust Third-Party Evaluation and Flaw Disclosure for General-Purpose AI,Accept (spotlight poster),Accept,3.75,3,4,4,4,,
ASOb5Cw8Rv,Position: Public Health Systems Should Embrace a Multi-Layered Epidemic Early-Warning with LLM Agents and Local Knowledge Enhancement,Reject,Reject,2.25,2,2,2,3,,
Al5mEX6eHF,Position: Explainable AI Cannot Advance Without Better User Studies,Accept (poster),Accept,3.50,4,4,2,4,,
BCP8UU2BcU,Position: Theory of Mind Benchmarks are Broken for Large Language Models,Accept (poster),Accept,3.25,3,3,3,4,,
CA9NxmmUG5,Position: AI Safety should prioritize the Future of Work,Accept (oral),Accept,4.75,5,4,5,5,,
CYJlJgEzZs,Position: Enough of Scaling LLMs! Lets Focus on Downscaling,Accept (poster),Accept,3.33,3,4,3,,,
DH84SmPVxR,Position: The Pace of AI Innovation Demands Matching Urgency in Societal Impact Research to Shape Economic Policy,Reject,Reject,1.50,3,1,1,1,,
DMRrbb36r5,Position: All Current Generative Fidelity and Diversity Metrics are Flawed,Accept (poster),Accept,3.00,3,4,3,2,,
ELErARGR5U,Position: Rules Created by Symbolic Systems Cannot Constrain a Learning System,Reject,Reject,1.50,1,1,2,2,,
ET6qJpllEi,Position: An Empirically Grounded Identifiability Theory Will Accelerate Self Supervised Learning Research,Accept (poster),Accept,2.75,2,3,3,3,,
ErKu9lP91g,Position: Societal Impacts Research Requires Benchmarks for Creative Composition Tasks,Accept (poster),Accept,3.33,4,3,3,,,
GCqffUAyiu,Position: Bitter lesson of the ARC-AGI Challenge: Intelligence may look very different in machines and humans,Reject,Reject,2.25,2,1,2,4,,
GYZLed4d3M,Position: Graph Matching Systems Deserve Better Benchmarks,Accept (poster),Accept,3.67,4,3,4,,,
Gl3V36BkCL,"Position: Can OpenAI be Truly ""Open""? Open, Monetizable, and Loyal (OML) AI Is What You Need in a Fair and Sustainable Next-Generation AI Ecosystem",Reject (with encouragement),Reject,3.00,3,3,3,,,
