paper_id,title,status,pred_score,gt_avg_score,abs_error,cost_usd,openrouter_calls,input_tokens,output_tokens,total_tokens,job_id,review_path,error,pred_decision,gt_binary,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
1PIfB5w05x,Price of Quality: Sufficient Conditions for Sparse Recovery using Mixed-Quality Data,completed,6.0,7.5,1.5,0.02304486,11,1008759,7767,1016526,518a4c57-cc2e-4404-97ad-d5b5d71a4888,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/1PIfB5w05x.md,,,Accept,8.0,8.0,8.0,6.0,,,
0JLUFJMo5p,Dynamic Task-Embedded Reward Machines for \\ Adaptive Code Generation and Manipulation \\ in Reinforcement Learning,completed,4.0,1.0,3.0,0.02756645,26,2426252,18676,2444928,e2d283a5-df16-4a55-a911-f60b161c3b02,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/0JLUFJMo5p.md,,,Reject,0.0,2.0,0.0,2.0,,,
1EdAn5gMVv,SpatialBoost: Enhancing Visual Representation through Language-Guided Reasoning,completed,6.0,5.0,1.0,0.03100352,27,2827361,18055,2845416,7f635d94-569e-474e-bceb-c2a7661ad872,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/1EdAn5gMVv.md,,,Reject,6.0,8.0,2.0,4.0,,,
0TmVqOpBbK,Scaling Laws Meet Model Architecture: Toward Inference-Efficient LLMs,completed,6.5,6.5,0.0,0.03302476,24,2881779,19954,2901733,347efb6f-9270-478a-9f7c-b4ea0ee74a8e,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/0TmVqOpBbK.md,,,Accept,6.0,8.0,4.0,8.0,,,
1FCZ4f8dAY,"Tensor learning with orthogonal, Lorentz, and symplectic symmetries",completed,6.0,7.0,1.0,0.03505693,31,3641448,19495,3660943,ef814bf2-1a65-4abf-b764-7c187b4bc0a0,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/1FCZ4f8dAY.md,,,Accept,10.0,4.0,8.0,6.0,,,
1CR1MTIgmq,"False, misleading, and unfounded statements in a recent TPAMI publication",completed,6.0,0.0,6.0,0.0326211,28,3045859,21897,3067756,87ad8b37-e87f-4296-bfd0-c048809f9546,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/1CR1MTIgmq.md,,,Reject,0.0,0.0,0.0,,,,
05hNleYOcG,PLAGUE: Plug-and-play framework for Lifelong Adaptive Generation of mUlti-turn jailbrEaks,completed,6.0,2.5,3.5,0.03073174,26,2706303,21918,2728221,5aba7b99-0e19-41d9-bbf5-c11f393f1eab,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/05hNleYOcG.md,,,Accept,2.0,4.0,2.0,2.0,,,
0xHWd4CUaX,Contrastive Code Graph Embeddings for Reinforcement Learning-Based Automated Code Refactoring,completed,5.0,2.0,3.0,0.02812498,26,2370534,22940,2393474,301f3853-5e0d-4e64-a8ba-b2fe882c21a2,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/0xHWd4CUaX.md,,,Reject,0.0,2.0,4.0,2.0,,,
1E4Bltg6Xb,Learning Dynamics Feature Representation via Policy Attention for Dynamic Path Planning in Urban Road Networks,completed,5.5,4.67,0.83,0.02912332,28,2654361,21008,2675369,7bfce647-f068-4ce5-89cc-8d4031f5a2a2,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/1E4Bltg6Xb.md,,,Accept,6.0,6.0,2.0,,,,
0K4jNe8ik9,DGNet: Self-Supervised Delta2Gamma Multi-Band EEG Representation Learning for Dementia Classification,completed,5.0,1.0,4.0,0.0297758,26,2607824,22146,2629970,5bfe4f11-e1c6-44de-8a40-8c63f42c4867,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/0K4jNe8ik9.md,,,Reject,0.0,0.0,2.0,2.0,,,
0obDxMfeYu,A Median Perspective on Unlabeled Data for Out-of-Distribution Detection,completed,5.5,3.2,2.3,0.03472567,28,3273176,23006,3296182,1e97964d-d79f-403f-af13-7a55cfaa4296,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/0obDxMfeYu.md,,,Reject,2.0,2.0,4.0,2.0,6.0,,
173Pq3F31r,Bridging Piano Transcription and Rendering via Disentangled Score Content and Style,completed,6.0,5.5,0.5,0.02983691,25,2522839,24026,2546865,3a9c35d2-f9e5-4042-9294-c3cd4e005b78,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/173Pq3F31r.md,,,Accept,8.0,8.0,4.0,2.0,,,
0zKfU1rsXd,AQER: A Scalable and Efficient Data Loader for Digital Quantum Computers,completed,6.0,5.0,1.0,0.03299778,25,2775661,20627,2796288,3f2b04b5-791d-4269-8cde-4dfcbecb7561,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/0zKfU1rsXd.md,,,Accept,4.0,4.0,6.0,6.0,,,
1j0ormf8uI,Conformalized Survival Counterfactuals Prediction for General Right-Censored Data,completed,6.5,5.2,1.3,0.03387835,29,2574905,18402,2593307,1513ed6f-ef86-4092-9360-45cb608e9d10,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/1j0ormf8uI.md,,,Accept,8.0,4.0,6.0,6.0,2.0,,
0nvQ5kHXf4,Efficient Resource-Constrained Training of Transformers via Subspace Optimization,completed,5.0,6.0,1.0,0.03222479,25,2656905,26485,2683390,13468d38-91e9-4270-bd63-6d044ecdf2ec,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/0nvQ5kHXf4.md,,,Accept,6.0,6.0,6.0,,,,
0aBAAS0rRT,Map as a Prompt: Learning Multi-Modal Spatial-Signal Foundation Models for Cross-scenario Wireless Localization,completed,5.0,5.33,0.33,0.03167296,31,2914354,26310,2940664,ae7d2223-9461-4830-a07f-5216977b2ac9,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/0aBAAS0rRT.md,,,Accept,6.0,4.0,6.0,,,,
0kHbD6ad07,Language Models are Injective and Hence Invertible,completed,6.0,5.0,1.0,0.0334022,28,2970828,26389,2997217,db13c4d0-c0a8-44ae-9ef4-3da6e3f5da43,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/0kHbD6ad07.md,,,Accept,4.0,4.0,6.0,6.0,,,
0lW2UBiEWN,Mesa and Mask: A Benchmark for Detecting and Classifying Deceptive Behaviors in LLMs,completed,6.0,4.5,1.5,0.03725884,33,3749844,26912,3776756,c9f637b9-f2ef-49fb-a124-d36e20d63a88,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/0lW2UBiEWN.md,,,Reject,4.0,6.0,4.0,4.0,,,
0cbUKCyBsH,Influence-Aware Forecasting: Breaking the Self-Stimulation Barrier in Time Series,completed,5.0,3.5,1.5,0.03620925,30,3331195,27519,3358714,42b9d764-e727-4ce2-ac9e-fc53c4766755,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/0cbUKCyBsH.md,,,Reject,4.0,2.0,4.0,4.0,,,
1AYy3T3Xjk,A Process-Level Method for Creativity Evaluation in LLM-Assisted Learning,completed,6.0,2.5,3.5,0.03616613,40,3983488,27927,4011415,61ab26ea-68b6-49d7-94fd-1ddc84a2c5c1,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/1AYy3T3Xjk.md,,,Reject,2.0,4.0,2.0,2.0,,,
20DsUSauCj,Persona Vectors: Monitoring and Controlling Character Traits in Language Models,completed,6.5,3.33,3.17,0.03003188,28,2724716,22756,2747472,da8bd0cb-1822-4434-8ac3-39504c978de7,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/20DsUSauCj.md,,,Reject,2.0,4.0,4.0,,,,
2EQPpEZtEK,DiSTAR: Diffusion over a Scalable Token Autoregressive Representation for Speech Generation,completed,6.5,3.33,3.17,0.02865124,25,2527005,18712,2545717,f071a1c8-3a74-4874-b0dc-453b158dbc8a,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/2EQPpEZtEK.md,,,Reject,2.0,4.0,4.0,,,,
23Ea4fVGiI,Knowledge Model Prompting Increases LLM Performance on Planning Tasks,completed,5.0,0.67,4.33,0.03131118,28,2898623,21782,2920405,bb846b6d-15f8-4f4f-8fac-d5483dfbd02a,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/23Ea4fVGiI.md,,,Reject,2.0,0.0,0.0,,,,
2za3iNkwXn,When Reasoning Meets Compression: Understanding the Effects of LLMs Compression on Large Reasoning Models,completed,6.0,4.4,1.6,0.02996612,25,2651855,18999,2670854,86cb0381-f665-4944-8ecc-539a8e795eb9,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/2za3iNkwXn.md,,,Accept,4.0,4.0,4.0,4.0,6.0,,
2hTLJEgCbv,When Encoders Should Stay Simple: An Empirical Analysis of Architectures for Variational Autoencoders,completed,4.0,1.0,3.0,0.02430572,20,1660311,21082,1681393,a614496a-e00d-4e07-a19f-969c22e3e754,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/2hTLJEgCbv.md,,,Reject,0.0,0.0,2.0,2.0,,,
32mrjmaeMP,Dataless Weight Disentanglement in Task Arithmetic via Kronecker-Factored Approximate Curvature,completed,6.0,4.5,1.5,0.03231752,29,3140765,19898,3160663,3ec4315c-9097-4a8c-955e-4e96c040ee2c,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/32mrjmaeMP.md,,,Accept,6.0,6.0,4.0,2.0,,,
2PJkG6aV4A,Guardrail-Agnostic Societal Bias Evaluation in Large Vision-Language Models,completed,6.0,6.0,0.0,0.03605883,29,3450879,24215,3475094,02c90853-af61-4589-97a7-0828a8ba1307,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/2PJkG6aV4A.md,,,Reject,4.0,8.0,8.0,4.0,,,
2uTxLC4LmC,Towards Safe Reasoning in Large Reasoning Models via Corrective Intervention,completed,7.0,5.0,2.0,0.03556002,31,3536382,23147,3559529,636a0a73-1320-4781-83fa-ae0a7a2f7801,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/2uTxLC4LmC.md,,,Accept,2.0,4.0,6.0,8.0,,,
36CzrZYEch,IRIS: Intrinsic Reward Image Synthesis,completed,6.0,4.0,2.0,0.03585678,28,3469998,21523,3491521,d7afeb07-68c8-4454-b801-865c44108ac7,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/36CzrZYEch.md,,,Reject,2.0,2.0,6.0,6.0,,,
3YKeB9R1g9,Scaling with Collapse: Efficient and Predictable Training of LLM Families,completed,7.0,8.0,1.0,0.03493311,29,3531882,19583,3551465,58f6f4c4-01b9-4257-bd5a-4f48aef29ec4,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/3YKeB9R1g9.md,,,Accept,8.0,8.0,8.0,,,,
31CznLfRIS,VideoJudge: Bootstrapping Enables Scalable Supervision of MLLM-as-a-Judge for Video Understanding,completed,6.5,4.5,2.0,0.03259884,27,2914961,23982,2938943,d1364aa6-1244-49fd-8f74-7d09029df1e1,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/31CznLfRIS.md,,,Accept,4.0,4.0,6.0,4.0,,,
3wMdHl7JQ6,Simplify to Amplify: Achieving Information-Theoretic Bounds with Fewer Steps in Spectral Community Detection,completed,5.0,1.0,4.0,0.03006406,28,2828303,19560,2847863,e9f0c827-a21f-4750-9ac3-e68989440f0e,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/3wMdHl7JQ6.md,,,Reject,2.0,0.0,0.0,2.0,,,
3V559xWIWc,SALF & TALF: Optimized Loss Function and Drafting for Tree-based Speculative Decoding,completed,7.0,4.5,2.5,0.03861748,30,3837664,23981,3861645,684a8b0b-862f-44a2-a716-ff444ee0d7de,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/3V559xWIWc.md,,,Reject,4.0,6.0,6.0,2.0,,,
3icvqeC1sA,ChaosNexus: A Foundation Model for Universal Chaotic System Forecasting with Multi-scale Representations,completed,6.0,4.5,1.5,0.03206538,28,2929773,24706,2954479,be1fd23a-6583-4516-aec1-407201ed8526,/home/wg25r/split_review/DeepReviewer-v2-openai/data/benchmarks/iclr2026_new/reviews/3icvqeC1sA.md,,,Reject,6.0,2.0,4.0,6.0,,,
