paper_id,title,decision,gt_binary,avg_score,score_0,score_1,score_2,score_3,score_4,score_5
wCUw8t63vH,Spectral learning of shared dynamics between generalized-linear processes,Reject,Reject,6.80,6,6,8,8,6,
wCUw8t63vH,Spectral learning of shared dynamics between generalized-linear processes,Reject,Reject,6.80,6,6,8,8,6,
wCUw8t63vH,Spectral learning of shared dynamics between generalized-linear processes,Reject,Reject,6.80,6,6,8,8,6,
wCRTEOIdmf,Towards Subgraph Isomorphism Counting with Graph Kernels,Reject,Reject,4.33,5,5,3,,,
wCRTEOIdmf,Towards Subgraph Isomorphism Counting with Graph Kernels,Reject,Reject,4.33,5,5,3,,,
wCRTEOIdmf,Towards Subgraph Isomorphism Counting with Graph Kernels,Reject,Reject,4.33,5,5,3,,,
wAyTOazvN0,Learning Multiplex Embeddings on Text-rich Networks with One Text Encoder,Reject,Reject,5.75,5,6,6,6,,
wAyTOazvN0,Learning Multiplex Embeddings on Text-rich Networks with One Text Encoder,Reject,Reject,5.75,5,6,6,6,,
wAyTOazvN0,Learning Multiplex Embeddings on Text-rich Networks with One Text Encoder,Reject,Reject,5.75,5,6,6,6,,
w9tc699w3Z,Remote Sensing Vision-Language Foundation Models without Annotations via Ground Remote Alignment,Accept,Accept,7.00,8,8,6,6,,
w9tc699w3Z,Remote Sensing Vision-Language Foundation Models without Annotations via Ground Remote Alignment,Accept,Accept,7.00,8,8,6,6,,
w9tc699w3Z,Remote Sensing Vision-Language Foundation Models without Annotations via Ground Remote Alignment,Accept,Accept,7.00,8,8,6,6,,
w8eCnnq57m,LoraHub: Efficient Cross-Task Generalization via Dynamic LoRA Composition,Reject,Reject,5.33,5,6,5,,,
w8eCnnq57m,LoraHub: Efficient Cross-Task Generalization via Dynamic LoRA Composition,Reject,Reject,5.33,5,6,5,,,
w8eCnnq57m,LoraHub: Efficient Cross-Task Generalization via Dynamic LoRA Composition,Reject,Reject,5.33,5,6,5,,,
w8BL1NShjk,There is More to Graphs than Meets the Eye: Learning Universal Features with Self-supervision,Reject,Reject,3.50,5,3,3,3,,
w8BL1NShjk,There is More to Graphs than Meets the Eye: Learning Universal Features with Self-supervision,Reject,Reject,3.50,5,3,3,3,,
w8BL1NShjk,There is More to Graphs than Meets the Eye: Learning Universal Features with Self-supervision,Reject,Reject,3.50,5,3,3,3,,
w7LU2s14kE,Linearity of Relation Decoding in Transformer Language Models,Accept,Accept,7.33,6,8,8,,,
w7LU2s14kE,Linearity of Relation Decoding in Transformer Language Models,Accept,Accept,7.33,6,8,8,,,
w7LU2s14kE,Linearity of Relation Decoding in Transformer Language Models,Accept,Accept,7.33,6,8,8,,,
w4DW6qkRmt,SuRe: Summarizing Retrievals using Answer Candidates for Open-domain QA of LLMs,Accept,Accept,6.40,6,6,6,8,6,
w4DW6qkRmt,SuRe: Summarizing Retrievals using Answer Candidates for Open-domain QA of LLMs,Accept,Accept,6.40,6,6,6,8,6,
w4DW6qkRmt,SuRe: Summarizing Retrievals using Answer Candidates for Open-domain QA of LLMs,Accept,Accept,6.40,6,6,6,8,6,
w49jlMWDSA,GIST: Generating Image-Specific Text for Fine-grained Object Representations,Reject,Reject,5.33,6,5,5,,,
w49jlMWDSA,GIST: Generating Image-Specific Text for Fine-grained Object Representations,Reject,Reject,5.33,6,5,5,,,
w49jlMWDSA,GIST: Generating Image-Specific Text for Fine-grained Object Representations,Reject,Reject,5.33,6,5,5,,,
w327zcRpYn,SUBER: An RL Environment with Simulated Human Behavior for Recommender Systems,Reject,Reject,4.25,6,5,3,3,,
w327zcRpYn,SUBER: An RL Environment with Simulated Human Behavior for Recommender Systems,Reject,Reject,4.25,6,5,3,3,,
w327zcRpYn,SUBER: An RL Environment with Simulated Human Behavior for Recommender Systems,Reject,Reject,4.25,6,5,3,3,,
w1JanwReU6,Are Models Biased on Text without Gender-related Language?,Accept,Accept,5.50,5,6,6,5,,
w1JanwReU6,Are Models Biased on Text without Gender-related Language?,Accept,Accept,5.50,5,6,6,5,,
w1JanwReU6,Are Models Biased on Text without Gender-related Language?,Accept,Accept,5.50,5,6,6,5,,
vyGp9Mty2t,Implicit Neural Representations for Joint Sparse-View CT Reconstruction,Reject,Reject,5.50,3,5,6,8,,
vyGp9Mty2t,Implicit Neural Representations for Joint Sparse-View CT Reconstruction,Reject,Reject,5.50,3,5,6,8,,
vyGp9Mty2t,Implicit Neural Representations for Joint Sparse-View CT Reconstruction,Reject,Reject,5.50,3,5,6,8,,
vxZW1aROZA,EcoAssistant: Using LLM Assistant More Affordably and Accurately,Reject,Reject,5.33,5,5,6,,,
vxZW1aROZA,EcoAssistant: Using LLM Assistant More Affordably and Accurately,Reject,Reject,5.33,5,5,6,,,
vxZW1aROZA,EcoAssistant: Using LLM Assistant More Affordably and Accurately,Reject,Reject,5.33,5,5,6,,,
vueANsev2R,Investigating the chaotic dynamics produced by deep reinforcement learning controllers,Reject,Reject,3.75,3,6,3,3,,
vueANsev2R,Investigating the chaotic dynamics produced by deep reinforcement learning controllers,Reject,Reject,3.75,3,6,3,3,,
vueANsev2R,Investigating the chaotic dynamics produced by deep reinforcement learning controllers,Reject,Reject,3.75,3,6,3,3,,
vtyasLn4RM,CoRe-GD: A Hierarchical Framework for Scalable Graph Visualization with GNNs,Accept,Accept,5.75,5,6,6,6,,
vtyasLn4RM,CoRe-GD: A Hierarchical Framework for Scalable Graph Visualization with GNNs,Accept,Accept,5.75,5,6,6,6,,
vtyasLn4RM,CoRe-GD: A Hierarchical Framework for Scalable Graph Visualization with GNNs,Accept,Accept,5.75,5,6,6,6,,
vt5mnLVIVo,Grokking as the transition from lazy to rich training dynamics,Accept,Accept,6.00,5,3,8,8,,
vt5mnLVIVo,Grokking as the transition from lazy to rich training dynamics,Accept,Accept,6.00,5,3,8,8,,
vt5mnLVIVo,Grokking as the transition from lazy to rich training dynamics,Accept,Accept,6.00,5,3,8,8,,
vrhrhGrdXm,KBFormer: A Transformer-based Diffusion Model of Structured Entities with Heterogeneous Properties,Reject,Reject,5.60,6,5,6,5,6,
vrhrhGrdXm,KBFormer: A Transformer-based Diffusion Model of Structured Entities with Heterogeneous Properties,Reject,Reject,5.60,6,5,6,5,6,
vrhrhGrdXm,KBFormer: A Transformer-based Diffusion Model of Structured Entities with Heterogeneous Properties,Reject,Reject,5.60,6,5,6,5,6,
uNkKaD3MCs,Learning with Mixture of Prototypes for Out-of-Distribution Detection,Accept,Accept,5.75,5,6,6,6,,
uNkKaD3MCs,Learning with Mixture of Prototypes for Out-of-Distribution Detection,Accept,Accept,5.75,5,6,6,6,,
uNkKaD3MCs,Learning with Mixture of Prototypes for Out-of-Distribution Detection,Accept,Accept,5.75,5,6,6,6,,
uLOFyiruin,Babel-ImageNet: Massively Multilingual Evaluation of Vision-and-Language Representations,Reject,Reject,6.50,6,6,8,6,,
