paper_id,title,decision,gt_binary,avg_score,score_0,score_1,score_2,score_3,score_4,score_5
0xHWd4CUaX,Contrastive Code Graph Embeddings for Reinforcement Learning-Based Automated Code Refactoring,Reject,Reject,2.00,0,2,4,2,,
2rLgh5ewD6,Adaptive Correction Mechanism for Ensuring Conservation Laws in Neural Operators,Reject,Reject,2.67,2,2,4,,,
3TaaM0p64w,Information Bottleneck-inspired Efficient and Explainable Federated Active Learning,Reject,Reject,2.50,2,4,2,2,,
4eZqQ0Qs8u,DeepOPF-GAF: Graph Self-Attention Framework for N-1 Security-Constrained Optimal Power Flow,Reject,Reject,2.50,2,4,2,2,,
4hkMvkzai5,DeCodec: Rethinking Audio Codecs as Universal Disentangled Representation Learners,Reject,Reject,2.80,4,2,2,4,2,
56W2REpMPw,Capturing Opinion Shifts in Deliberative Discourse through Frequency-based Quantum deep learning methods,Reject,Reject,2.00,2,2,2,2,,
5BS1VPlzBR,Balancing the False Positive-Negative tradeoff to enhance Image Segmentation,Reject,Reject,2.00,2,2,2,,,
5Pnk2W5ma9,ONNX-Net: Towards Universal Representations and Instant Performance Prediction for Neural Architectures,Reject,Reject,2.50,4,4,2,0,,
5fi76C2QrQ,FunKAN: Functional Kolmogorov-Arnold Network for Medical Image Segmentation,Reject,Reject,2.50,2,2,4,2,,
5izkRQEo5c,Leveraging Visual Embeddings from Instagram for Credit Scoring of Informal Microbusinesses,Reject,Reject,2.67,4,2,2,,,
5sEj8EL8J4,Cross-Modal Syntax-NL Attention for Multi-Agent Reinforcement Learning in Collaborative Coding,Reject,Reject,2.67,2,2,4,,,
61hLQpeMtc,Quantum-RAG and PunGPT2: Advancing Low-Resource Language Generation and Retrieval for the Punjabi Language,Reject,Reject,2.00,2,0,4,2,,
6ZZzta9lRx,Context-Enriched Embeddings for Robust 3D Scene Understanding,Reject,Reject,2.00,2,2,2,,,
A3xbZR0nUD,Temporal Aware Iterative Speech Model for Dementia Detection,Reject,Reject,2.00,2,4,0,,,
B2jdDDq7GF,Noise-Aware System Identification for High-Dimensional Stochastic Dynamics,Reject,Reject,2.50,2,4,2,2,,
C3FEh03LMO,Opal: An Operator-Algebra View of RLHF Objectives,Reject,Reject,1.50,0,0,0,6,,
CZWcDWbs0h,"Towards Multi-view, Explainable and Scalable Representation Learning for Spoofed Audio Detection",Reject,Reject,2.00,2,2,2,2,,
DEWB8yCoOu,"XTalker: Turn, Smile, and Speak in Controllable Talking Portrait Animation",Reject,Reject,2.50,2,2,6,0,,
DRazLe6FAZ,Dynamics is what you need for time-series forecasting!,Reject,Reject,2.50,0,4,4,2,,
ElhPaYd2o1,Joint Pixel-Token Compression for Efficient Video-Language Models,Reject,Reject,2.00,2,2,2,2,,
FAK3lJSRQQ,ExLLM: Experience-Enhanced LLM Optimization for Molecular Design and Beyond,Reject,Reject,2.50,4,2,2,2,,
FNJhT5bL6n,Time Series Forecasting: Empowering Exogenous Data with Shape Morphing,Reject,Reject,2.50,2,2,2,4,,
GE0b5aQAvm,Neural Policy Ensembles are Sub-Optimal,Reject,Reject,2.67,2,4,2,,,
GfM2zak8YU,The Athenian Academy: A Seven-Layer Architecture for Multi-Agent Systems,Reject,Reject,1.50,0,2,4,0,,
Gxw1EDSm9S,Auto-SWE-Bench: A Framework for the Scalable Generation of Software Engineering Benchmark from Open-Source Repositories,Reject,Reject,1.50,2,2,2,0,,
HaQ5PCJOiU,Dynamic Weighted Projection Maintenance with $\ell^p$-Lewis Weight,Reject,Reject,2.50,2,2,2,4,,
IWer3Ciqkp,PG-VLM: A Multi-Stage Panoptic-Graph Architecture for Detailed Visual-Linguistic Grounding in Urban Scenes,Reject,Reject,1.50,2,2,2,0,,
IhqQfePPFs,Hybrid Dual-Attention Functional Map Learning for Robust Shape Matching,Reject,Reject,2.50,2,4,2,2,,
JEn5B8JC5n,Flow Matching Generalizes Through Discretization Bias,Reject,Reject,2.67,0,4,4,,,
JtIw8lYqdl,Scaling Laws for Uncertainty in Deep Learning,Reject,Reject,2.50,2,4,2,2,,
KMFotFeGjJ,Detecting Instruction Fine-tuning Attack on Language Models with Influence Function,Reject,Reject,2.00,2,2,2,,,
Kgcbzb9CZO,Towards Better Generalization via Distributional Input Projection Network,Reject,Reject,2.50,2,2,4,2,,
L2kWjJ3a1W,Decision Transformers As Zero-Shot Learners via Text-Behavior Alignment,Reject,Reject,2.67,2,4,2,,,
LPqjfqw2OI,Language Modeling With Factorization Memory,Reject,Reject,2.00,2,2,2,2,,
M4MeBjYiHl,Aligning News and Prices: A Cross-Modal LLM-Enhanced Transformer DRL Framework for Volatility-Adaptive Stock Trading,Reject,Reject,2.00,2,2,2,2,,
MhxBJsaeUr,Attention is Advantage: How the Weaker Defeats the Stronger Through Cooperation,Reject,Reject,2.67,4,2,2,,,
NgJDFIJF5c,Strata-Sword: A Hierarchical Safety Evaluation towards LLMs based on Reasoning Complexity of Jailbreak Instructions,Reject,Reject,2.67,2,2,4,,,
OCkJKMhIzV,Rational Irrationality: Evaluating LLMs In Games With Strategic Behavior Discrepancies,Reject,Reject,2.50,2,2,2,4,,
P7NUVF6wo4,VeriBench: End-to-End Formal Verification Benchmark for AI Code Generation in Lean 4,Reject,Reject,2.80,2,2,6,2,2,
PbuKIwKg7A,Atomos: Hierarchical Reasoning From Atomic Steps,Reject,Reject,1.50,0,0,4,2,,
QA4wj30Bhf,Evaluating LLM In-Context Few-Shot Learning on Legal Entity Annotation Task,Reject,Reject,2.50,2,4,2,2,,
R3VBfYVK1x,Evaluating LLMs on Real-World Forecasting Against Expert Forecasters,Reject,Reject,2.50,2,2,0,6,,
UgLYI2lxOQ,Regressor-free Intermediate Layer Distillation via Teacher Pruning,Reject,Reject,2.00,2,2,2,,,
VQw0mCpXkg,Two-Stage Voting for Robust and Efficient Suicide Risk Detection on Social Media,Reject,Reject,2.00,2,2,2,2,,
W0tpFxWcdd,HINTs: Human-INTuited Cues for Reinforcement Learning,Reject,Reject,2.00,2,2,2,2,,
W4VjZgdH8o,Controlling a $\mu$RTS agent using Decision Transformers,Reject,Reject,2.00,2,2,2,2,,
WkGnZsnCDR,Hierarchical Graph-coding Diffusion Model with Adaptive Information Bottleneck for Multichannel Speech Enhancement,Reject,Reject,2.00,4,2,0,2,,
WyssUYivo9,XPro-Design: Rational Protein Engineering Framework Using Explainable AI,Reject,Reject,2.00,0,4,2,,,
YH1gieQrxH,Learning Abstract World Models with a Group-Structured Latent Space,Reject,Reject,2.67,2,2,4,,,
YWLMoSmakk,CR-Guided Transformers: Coherence-Based Redundancy Identification and Regularization,Reject,Reject,1.50,0,0,4,2,,
Ys2OgNLNV7,"Think First, Then Select and Verify with Query–Key Alignment",Reject,Reject,2.00,0,2,4,,,
